"BizOpId"	"BizOpName"	"RequirementId"	"Requirement"	"RequirementNecessity"	"SegwProject"	"ApiHubIdentity"	"ExternalServiceName"	"VersionSelector"	"Protocol"	"SapOperation"	"Coverage"	"CoverageScope"	"EvidenceClass"	"EvidenceRef"	"LocalDesignTime"	"LocalRuntimeRegistered"	"IcfNodeActive"	"ActivationRequirement"	"GapOrConstraint"	"OpenItemId"	"Disposition"	"Status"	"Notes"
"API-01"	"Submit MIGO"	"API-01-R01"	"DeliveryDocument as goods-receipt reference"	"Mandatory"	"API_MATERIAL_DOCUMENT"	"API_MATERIAL_DOCUMENT_SRV"	"API_MATERIAL_DOCUMENT_SRV"	""	"OData V2"	"POST A_MaterialDocumentHeader (item Delivery/DeliveryItem)"	"DIRECT"	"ALONE"	"SAP-OFFICIAL"	"sessions/2026-08-15-standard-api-discovery/API_MATERIAL_DOCUMENT_DEEP_DIVE.md"	"PRESENT"	"NO"	"UNKNOWN"	"Register + activate API_MATERIAL_DOCUMENT_SRV (no version selector documented)"	"Correct GoodsMovementCode depends on the STO document flow"	"ID-1;MD-3"	"CONDITIONAL-BUSINESS-GATE"	"OPEN"	""
"API-01"	"Submit MIGO"	"API-01-R02"	"PurchaseOrder assertion"	"Assertion only"	"API_MATERIAL_DOCUMENT"	"API_MATERIAL_DOCUMENT_SRV"	"API_MATERIAL_DOCUMENT_SRV"	""	"OData V2"	"item PurchaseOrder / PurchaseOrderItem"	"DIRECT"	"ALONE"	"SAP-OFFICIAL"	"sessions/2026-08-15-standard-api-discovery/API_MATERIAL_DOCUMENT_DEEP_DIVE.md"	"PRESENT"	"NO"	"UNKNOWN"	"Register + activate API_MATERIAL_DOCUMENT_SRV (no version selector documented)"	""	""	"CONDITIONAL-BUSINESS-GATE"	"SETTLED"	""
"API-01"	"Submit MIGO"	"API-01-R03"	"ReceivingPlant assertion"	"Assertion only"	"API_MATERIAL_DOCUMENT"	"API_MATERIAL_DOCUMENT_SRV"	"API_MATERIAL_DOCUMENT_SRV"	""	"OData V2"	"item Plant (mandatory in SAP)"	"DIRECT"	"ALONE"	"SAP-OFFICIAL"	"sessions/2026-08-15-standard-api-discovery/API_MATERIAL_DOCUMENT_DEEP_DIVE.md"	"PRESENT"	"NO"	"UNKNOWN"	"Register + activate API_MATERIAL_DOCUMENT_SRV (no version selector documented)"	""	""	"CONDITIONAL-BUSINESS-GATE"	"SETTLED"	"SAP requires Plant; v1.7 treats it as assertion only"
"API-01"	"Submit MIGO"	"API-01-R04"	"PostingDate"	"Optional, defaults"	"API_MATERIAL_DOCUMENT"	"API_MATERIAL_DOCUMENT_SRV"	"API_MATERIAL_DOCUMENT_SRV"	""	"OData V2"	"header PostingDate"	"PARTIAL"	"ALONE"	"SAP-OFFICIAL"	"sessions/2026-08-15-standard-api-discovery/API_MATERIAL_DOCUMENT_DEEP_DIVE.md"	"PRESENT"	"NO"	"UNKNOWN"	"Register + activate API_MATERIAL_DOCUMENT_SRV (no version selector documented)"	"Mandatory in SAP; caller must always supply it"	""	"CONDITIONAL-BUSINESS-GATE"	"SETTLED"	""
"API-01"	"Submit MIGO"	"API-01-R05"	"DocumentDate"	"Optional"	"API_MATERIAL_DOCUMENT"	"API_MATERIAL_DOCUMENT_SRV"	"API_MATERIAL_DOCUMENT_SRV"	""	"OData V2"	"header DocumentDate"	"DIRECT"	"ALONE"	"SAP-OFFICIAL"	"sessions/2026-08-15-standard-api-discovery/API_MATERIAL_DOCUMENT_DEEP_DIVE.md"	"PRESENT"	"NO"	"UNKNOWN"	"Register + activate API_MATERIAL_DOCUMENT_SRV (no version selector documented)"	""	""	"CONDITIONAL-BUSINESS-GATE"	"SETTLED"	""
"API-01"	"Submit MIGO"	"API-01-R06"	"Material assertion"	"Assertion only"	"API_MATERIAL_DOCUMENT"	"API_MATERIAL_DOCUMENT_SRV"	"API_MATERIAL_DOCUMENT_SRV"	""	"OData V2"	"item Material"	"DIRECT"	"ALONE"	"SAP-OFFICIAL"	"sessions/2026-08-15-standard-api-discovery/API_MATERIAL_DOCUMENT_DEEP_DIVE.md"	"PRESENT"	"NO"	"UNKNOWN"	"Register + activate API_MATERIAL_DOCUMENT_SRV (no version selector documented)"	""	""	"CONDITIONAL-BUSINESS-GATE"	"SETTLED"	""
"API-01"	"Submit MIGO"	"API-01-R07"	"Unit (derived)"	"Derived"	"API_MATERIAL_DOCUMENT"	"API_MATERIAL_DOCUMENT_SRV"	"API_MATERIAL_DOCUMENT_SRV"	""	"OData V2"	"item EntryUnit / MaterialBaseUnit"	"DIRECT"	"ALONE"	"SAP-OFFICIAL"	"sessions/2026-08-15-standard-api-discovery/API_MATERIAL_DOCUMENT_DEEP_DIVE.md"	"PRESENT"	"NO"	"UNKNOWN"	"Register + activate API_MATERIAL_DOCUMENT_SRV (no version selector documented)"	""	""	"CONDITIONAL-BUSINESS-GATE"	"SETTLED"	""
"API-01"	"Submit MIGO"	"API-01-R08"	"Allocations[].StorageLocation"	"Mandatory"	"API_MATERIAL_DOCUMENT"	"API_MATERIAL_DOCUMENT_SRV"	"API_MATERIAL_DOCUMENT_SRV"	""	"OData V2"	"item StorageLocation, one item per allocation"	"DIRECT"	"ALONE"	"SAP-OFFICIAL"	"sessions/2026-08-15-standard-api-discovery/API_MATERIAL_DOCUMENT_DEEP_DIVE.md"	"PRESENT"	"NO"	"UNKNOWN"	"Register + activate API_MATERIAL_DOCUMENT_SRV (no version selector documented)"	""	""	"CONDITIONAL-BUSINESS-GATE"	"SETTLED"	"Answers handover open question 2 for this service"
"API-01"	"Submit MIGO"	"API-01-R09"	"Allocations[].Quantity"	"Mandatory"	"API_MATERIAL_DOCUMENT"	"API_MATERIAL_DOCUMENT_SRV"	"API_MATERIAL_DOCUMENT_SRV"	""	"OData V2"	"item QuantityInEntryUnit + EntryUnit"	"DIRECT"	"ALONE"	"SAP-OFFICIAL"	"sessions/2026-08-15-standard-api-discovery/API_MATERIAL_DOCUMENT_DEEP_DIVE.md"	"PRESENT"	"NO"	"UNKNOWN"	"Register + activate API_MATERIAL_DOCUMENT_SRV (no version selector documented)"	""	""	"CONDITIONAL-BUSINESS-GATE"	"SETTLED"	""
"API-01"	"Submit MIGO"	"API-01-R10"	"Multiple allocations in one business attempt"	"Mandatory"	"API_MATERIAL_DOCUMENT"	"API_MATERIAL_DOCUMENT_SRV"	"API_MATERIAL_DOCUMENT_SRV"	""	"OData V2"	"deep insert via to_MaterialDocumentItem"	"DIRECT"	"ALONE"	"SAP-OFFICIAL+LOCAL-DESIGN"	"sessions/2026-08-15-standard-api-discovery/API_MATERIAL_DOCUMENT_DEEP_DIVE.md"	"PRESENT"	"NO"	"UNKNOWN"	"Register + activate API_MATERIAL_DOCUMENT_SRV (no version selector documented)"	"A change set containing a create POST may contain nothing else"	""	"CONDITIONAL-BUSINESS-GATE"	"SETTLED"	""
